id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
1 4 2 1 205.345 2 2 107.923 190.571 0 0 816.415 0 0 -2.2225 2.42472 719.734 
2 4 1 2 50.1706 2 1 52.5626 121.046 0 0 0 0 -0.292393 -0.838153 0.388064 245.594 
3 4 5 2 330.332 2 2 598.526 468.572 0 0 0 0 0 -0.558178 2.68166 890.666 
4 4 1 1 213.837 2 1 163.514 160.117 1.00878 0 746.3 0 0 0 0.478115 736.968 
5 4 1 2 203.154 2 1 152.072 66.5947 -1.68463 0 0 0 0 0.366008 0.168081 525.46 
6 4 2 2 217.776 2 1 62.7345 177.943 0.415947 0 0 -443.199 0.422008 0.400879 0.835358 515.785 
7 4 1 1 122.592 2 2 163.699 185.759 0 0 0 0 0 -4.37066 0.678145 751.3 
8 3 1 1 197.123 2 1 120.515 152.631 0 0.844395 0 0 0.733532 -0.925039 0.104982 440.902 
9 1 1 1 263.511 2 2 199.529 185.389 0 0 0 0 0 -0.50941 0.871856 674.29 
10 4 1 1 192.196 2 1 150.843 184.605 0 0.265755 0 0 0 0 0.789064 291.519 
11 1 2 1 182.834 2 2 106.009 176.685 0 0 0 0 -1.84699 -1.64731 0.784096 461.493 
12 4 1 1 160.706 1 2 54.3741 65.833 0 0 0 -720.485 0.290055 0 0.227368 210.816 
13 3 1 1 202.548 2 1 134.003 54.4209 0 0 0 0 0 0 0.814053 389.822 
14 4 1 2 308.734 2 2 53.9874 166.443 0 0 0 -417.909 6.7638 -0.917286 0.392359 644.367 
15 1 1 1 326.445 2 2 74.0283 85.9909 0 0 -644.735 0 0.539896 0.56439 0.863402 751.691 
16 4 1 1 154.906 2 1 112.921 151.5 0 -0.259164 0 -1957.71 0.947568 2.02417 0.327253 282.973 
17 4 1 1 229.767 2 1 154.385 116.869 -0.480385 0 0 0 -0.674629 0.447817 2.1101 237.665 
18 4 3 1 227.307 2 1 255.435 123.062 0 1.45574 0 0 -0.430178 5.20973 0.147123 522.955 
19 4 2 1 240.009 2 2 292.25 170.577 0 0 0 0 3.39958 -0.335501 0.65249 16.8923 
20 4 3 1 233.294 2 2 199.383 115.077 0 0 0 0 0.670167 0.332355 0.744846 740.116 
21 4 2 1 216.675 2 2 161.114 123.267 0.448944 0 0 0 2.02371 0 0.910624 422.342 
22 4 2 1 132.266 2 1 285.728 126.294 0 0 0 0 -0.281265 -0.53089 1.02218 795.011 
23 4 1 1 200.69 1 2 50.7597 192.403 0 0 0 0 -3.30703 0 1.70065 780.588 
24 4 2 2 103.015 1 2 149.714 272.516 0 0 0 -555.952 0 0 0.326906 419.019 
25 3 1 1 214.123 1 2 113.102 245.895 0 -0.825605 0 0 0 0.885895 1.7253 453.612 
26 4 1 2 195.382 1 2 89.5321 156.422 0 0 0 0 -0.80611 -2.9991 0.143948 3.04278 
27 4 2 1 202.294 2 2 175.558 193.286 1.95909 0 0 0 0.50317 3.17024 1.7251 633.267 
28 3 1 2 323.061 1 2 129.579 188.035 0 1.22843 0 0 0.550102 2.63481 0.323918 254.758 
29 4 3 1 194.327 2 2 100.646 211.219 0 0 0 0 0 -0.40535 1.76943 444.107 
30 4 2 2 128.009 2 1 94.4467 197.718 0 0 0 0 0.551701 -0.735125 0.0423546 557.443 
31 4 2 2 283.533 2 2 176.116 203.518 0 0 0 -481.163 -0.579746 0.589311 0.287596 758.003 
32 4 3 1 167.928 2 2 133.466 317.807 -0.81218 0 0 0 0 0 1.00642 609.248 
33 1 2 1 204.698 2 2 151.36 127.224 0 0 0 -829.757 1.90226 -0.343287 0.699523 525.417 
34 4 2 2 164.72 2 2 218.012 136.96 0 0 0 -979.66 -0.828517 0.723337 0.359402 724.261 
35 4 2 1 76.3375 2 1 140.595 104.441 0 0 714.559 0 0.307202 0 0.278596 518.524 
36 4 1 2 171.889 2 1 130.189 184.414 0 0 596.46 0 -0.991977 0.611113 0.128216 76.8993 
37 4 1 2 202.747 1 2 185.163 236.599 0 0 474.771 0 0.914105 0 0.799501 280.108 
38 4 3 1 164.826 1 2 218.625 372.817 0 0 0 1958.87 0 0 0.989594 676.03 
39 4 1 2 95.8353 2 1 227.479 154.873 -0.993346 0 0 0 -0.706056 -0.681427 2.3881 379.25 
40 4 1 1 225.278 2 1 151.91 118.162 0.91955 0 0 0 -4.6067 0 0.377365 505.374 
41 3 1 2 147.114 2 1 140.56 110.574 0 1.93104 0 0 0 0 1.26692 534.615 
42 4 1 2 89.7881 1 2 81.9824 120.046 -1.49041 0 0 0 -1.44023 0.62624 0.385642 341.538 
43 4 3 1 247.534 2 2 323.463 238.948 -1.12091 0 -1122.09 0 0.276706 0 1.28514 620.453 
44 1 3 1 179.695 2 2 221.098 217.88 0 0 0 0 0 0 1.613 559.102 
45 4 2 1 211.455 2 2 67.0346 186.129 1.29297 0 0 0 1.62417 -3.16165 2.32789 580.529 
46 4 1 1 41.7781 2 1 182.137 107.636 0 0 0 0 0.396518 -3.31995 2.9299 454.088 
47 4 2 1 182.691 2 2 197.792 89.9729 0 0 0 1381.63 0 1.55334 0.899437 3783.78 
48 4 1 2 165.534 2 1 91.2374 195.056 0 0 -453.449 0 0 0 0.970264 712.819 
49 4 2 2 321.839 2 1 83.715 50.4178 0 0.371728 0 0 -3.35122 2.51408 0.799445 509.272 
50 2 2 2 191.998 2 2 135.782 182.458 0 -0.759948 0 0 -0.634516 2.12479 0.460363 501.143 
51 2 1 1 197.405 2 2 165.726 124.163 0.455613 0 0 0 0 0 0.352567 316.623 
52 4 1 1 196.273 1 2 121.187 53.2734 0 0 0 0 0 3.90408 0.703027 590.126 
53 3 1 1 139.733 1 2 83.6664 230.336 1.09549 0 0 0 0.611917 0.76045 1.34095 440.627 
54 4 2 2 180.384 2 1 111.246 132.457 0 0 0 0 0.866453 0 0.913206 185.417 
55 4 1 1 226.437 2 1 139.658 96.4251 0 0 0 0 0.48887 -0.560463 0.458724 409.082 
56 4 1 1 279.507 2 1 125.386 106.768 -0.363433 0.882616 0 0 -0.887408 0 0.625638 119.933 
57 4 2 1 177.708 2 1 286.635 111.92 0 0 0 537.566 -0.937042 -1.14761 0.683273 234.077 
58 4 2 1 133.458 2 1 176.15 141.396 0 0 0 -501.538 0 0.704606 0.0800084 556.069 
59 4 2 1 231.496 2 2 109.101 169.849 1.527 1.55288 0 0 0 0.789316 1.9618 518.928 
60 4 1 1 182.373 1 2 59.1226 127.168 -0.751717 0 0 0 -0.789134 0 0.365655 618.539 
61 4 2 1 262.79 1 2 88.6672 138.384 0 0 -1094.56 0 0 0.867335 0.815317 403.349 
62 4 1 1 122.977 2 1 126.228 131.873 0 0 0 0 0 -0.953313 0.136846 724.583 
63 4 2 1 189.638 1 2 93.5408 199.876 0 0 0 0 0 -0.45205 0.692258 318.082 
64 4 1 2 38.0245 2 1 363.59 55.7486 0 0 806.713 0 0 1.18867 0.726805 706.489 
65 4 2 1 169.046 2 2 196.883 170.009 0 0 0 0 0 -1.00064 0.620209 584.403 
66 4 1 2 287.297 2 2 195.856 169.349 -0.72841 0 0 0 0.510993 0 0.290141 599.224 
67 4 5 1 341.248 2 2 438.664 583.069 0 0 0 0 0 0 2.95616 815.958 
68 4 1 2 153.555 2 2 199.268 168.876 0 0 0 0 0 -0.910119 0.15448 551.711 
69 1 1 2 267.673 2 2 195.419 61.0949 0 0 0 -546.494 0.984848 -2.5132 0.719352 205.658 
70 4 3 2 126.063 2 2 298.468 53.9826 0 0 0 0 0 -2.26768 0.764363 752.485 
71 4 1 1 213.39 1 2 107.481 128.883 0 0 0 0 0 0 0.121531 684.26 
72 4 3 1 283.456 2 1 286.372 136.64 -0.869997 0 0 943.582 0 -0.670935 1.09812 762.78 
73 4 1 1 212.419 1 2 259.03 104.96 0 0 485.226 0 -0.319354 0.803331 0.950328 69.4432 
74 4 1 2 36.5322 2 1 275.782 125.548 -1.95772 0 -1523.35 0 0.929341 0 0.761206 491.059 
75 4 3 1 105.782 2 2 152.669 388.769 0 0 -1977.73 0 -0.734421 0 2.804 300.383 
76 4 2 1 109.997 1 2 111.885 138.601 0 0 595.292 0 0 0 0.26645 710.705 
77 4 1 1 100.439 2 2 128.684 199.846 0 0 0 0 0.916803 -0.407068 0.463612 248.236 
78 3 1 1 108.404 2 1 102.911 109.684 -0.570331 0 -788.718 -528.586 0.952657 -1.01071 0.203348 679.827 
79 4 1 1 194.814 2 1 153.119 104.428 0 0 0 0 0.663723 2.25577 0.561556 144.308 
80 4 2 1 142.187 2 2 182.27 179.671 0 0 -789.942 0 0 0 1.46155 766.454 
81 1 1 1 238.811 2 2 101.182 143.893 0 0 0 0 -1.09714 -0.985981 0.0951506 659.046 
82 4 2 1 245.528 1 2 119.153 194.003 0 -0.644482 0 -458.985 0 0 0.647261 696.633 
83 4 2 2 284.096 2 1 275.93 134.281 -0.936261 0 0 0 0 0.768282 0.709764 379.234 
84 3 1 1 157.319 2 2 141.952 199.413 0 0.763441 0 0 0 -0.646397 0.341822 205.421 
85 2 1 1 223.629 2 2 73.2123 178.55 0 0 0 1136.03 1.11834 -0.42931 0.133667 263.993 
86 4 2 1 188.313 2 2 198.66 191.387 0 0 601.781 0 -0.835152 0 0.927135 498.559 
87 4 1 1 104.301 2 2 82.891 104.501 1.75594 0 0 0 5.97984 -0.330627 0.812531 2.0166 
88 4 2 2 45.3277 2 1 108.286 102.392 0 0 0 0 0 0.831022 0.914067 537.465 
89 4 2 1 136.319 2 1 163.836 172.993 0 0 0 0 0 0 0.794665 604.838 
90 4 1 1 191.796 1 2 152.778 103.232 0 0 0 0 -0.584566 0 1.55244 201.838 
91 4 2 1 82.8217 1 2 123.933 177.556 -1.94131 0 0 0 0 0 0.660194 557.563 
92 4 3 1 172.203 1 2 102.502 175.851 0.702427 0 -672.036 0 -0.361668 -0.676429 2.04144 769.291 
93 4 1 1 222.305 2 2 195.857 156.037 0 0 0 -886.269 0.768484 0 0.197236 200.433 
94 4 1 1 321.531 1 2 92.6366 181.786 1.59831 1.39948 -427.717 -583.433 0 0.333916 0.290512 564.186 
95 1 2 2 188.817 2 2 76.3814 138.517 0 0 0 0 -2.82235 0.27506 0.430042 369.496 
96 3 1 1 183.417 2 1 61.9655 175.867 0 1.65191 0 0 2.01332 0 2.26748 613.616 
97 4 1 1 238.799 2 1 219.201 141.054 0 0 0 0 -0.594318 0.300393 1.22489 649.692 
98 4 1 1 195.267 1 2 165.538 70.009 1.47694 1.83583 -600.571 529.227 0 2.60147 0.575684 685.405 
99 2 2 2 264.735 2 2 166.395 143.211 0 0 0 -645.589 0.463928 -0.500523 0.328018 405.573 
100 4 5 1 134.555 2 2 350.387 543.759 1.22483 0 0 0 0 0 0.973889 807.28 
101 4 1 2 150.815 2 2 132.446 92.008 0 -0.888045 0 0 -1.81262 0 0.142096 389.775 
102 4 1 2 235.135 2 1 361.582 192.983 -1.46488 0 -823.953 0 0 0 0.746643 290.233 
103 1 1 1 162.669 2 1 126.598 64.6564 0 0 0 0 0.629852 0 0.394522 405.428 
104 1 2 2 198.364 2 2 102.876 139.996 0 0 0 0 0.80124 -0.352227 0.326618 401.672 
105 4 1 2 136.596 2 1 156.266 65.9658 0 -0.667837 0 0 0 5.78354 0.270024 700.381 
106 1 1 1 166.403 2 2 147.373 154.048 -1.39986 0 0 0 -0.956467 0.442449 0.889232 416.053 
107 4 1 1 149.652 2 1 68.4925 50.3056 0 0 0 0 -1.78029 1.23965 0.710419 94.1706 
108 4 2 2 219.805 2 1 65.2452 61.3 0 1.33856 0 0 0 1.27574 0.357545 534.218 
109 4 1 2 237.792 2 1 172.863 72.7115 0 0 0 722.089 -0.271808 2.99329 0.431434 516.915 
110 4 1 2 269.62 1 2 91.7105 171.796 0 0 0 0 0 -3.47166 0.78099 360.396 
111 4 2 1 205.919 2 1 120.091 128.913 -1.29524 0 0 0 0.867304 -0.396775 0.232407 423.316 
112 4 2 1 198.552 2 2 216.508 181.256 0 0 0 0 0 0.727379 0.936011 448.007 
113 4 2 1 190.569 2 2 231.829 90.164 1.4156 0.98118 1819.67 0 -0.380647 -1.74588 0.668688 702.353 
114 4 1 2 56.5642 2 1 120.933 165.503 1.61195 0 -728.039 0 -1.02755 0.484884 0.989872 14.6078 
115 4 2 1 137.738 2 2 141.443 169.595 0 0 0 0 0 0 0.284355 476.628 
116 4 2 1 164.113 2 2 180.044 90.8238 0.79453 0 0 0 -0.528913 0.584484 2.76383 432.899 
117 1 2 1 265.065 2 2 225.167 201.788 0 0 0 0 2.21604 2.56093 1.656 388.079 
118 4 1 1 267.243 2 2 143.225 63.9186 0 0 0 755.113 1.60611 -3.1737 2.88273 340.412 
119 4 3 1 185.139 2 1 147.38 80.7647 0 1.55128 0 0 0 -3.21399 0.995886 578.188 
120 4 1 1 168.344 2 2 121.819 55.9241 0 0 -581.229 0 -0.342365 0.931925 1.43046 8.01204 
121 4 1 1 199.442 2 1 122.694 164.831 0 0 0 -785.697 -0.77876 -0.85721 0.305253 591.849 
122 4 2 2 118.948 2 1 110.309 129.734 0 0 0 0 -2.81897 0 2.86207 705.565 
123 4 2 1 156.353 2 1 115.645 114.041 0 0 0 -551.079 -3.33913 -2.92857 0.650212 797.487 
