id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
1 1 1 1 203.194 2 2 156.436 96.3002 0 0 -693.748 0 0.255177 3.32905 0.966235 69.1342 
2 4 1 1 148.916 2 1 150.931 175.691 1.50845 0.321928 0 0 2.48982 -0.921332 0.827846 623.301 
3 4 1 2 176.059 1 2 128.344 169.182 0 0 0 0 0 -0.252052 0.156885 379.538 
4 4 1 1 247.012 2 1 94.1531 121.161 0 0 0 0 1.09713 0 0.396125 603.15 
5 4 2 1 1.35073 1 2 115.368 279.643 0 0 0 0 2.31838 0 2.34116 516.403 
6 4 1 1 260.381 2 2 279.943 99.6446 -0.767764 0 0 0 -0.344307 -5.11259 0.0694788 482.677 
7 1 2 2 275.505 2 2 251.415 255.148 0 0 1229.78 0 0 0 0.813861 489.89 
8 4 1 1 110.618 2 2 157.049 111.721 0 0 0 0 0 3.09499 0.488357 531.623 
9 4 1 2 203.49 2 1 133.87 167.248 -1.89765 0 0 0 0 0 0.967259 38.8587 
10 4 2 2 176.064 2 1 175.609 136.593 0 -0.975153 0 0 -0.945315 0 0.676469 470.858 
11 4 2 1 330.576 2 1 53.4685 115.874 0.889345 1.77538 0 2709.42 0.85119 0 0.760009 219.065 
12 3 1 2 154.401 2 1 140.244 50.2903 0 0 0 0 0 1.96301 0.0670887 470.712 
13 4 2 2 91.4289 2 1 80.9949 170.827 1.53059 0 0 0 -3.04126 -2.6894 0.217325 662.896 
14 4 1 2 16.4795 2 1 223.074 171.688 0 0 -969.522 0 1.46956 0 2.74653 751.038 
15 4 2 2 23.6848 2 1 205.122 184.471 -1.26562 0 0 0 0 -0.333638 1.09203 556.67 
16 4 2 1 96.7699 1 2 112.707 168.587 0 0 0 0 -2.64416 -0.621482 0.841149 525.888 
17 1 1 2 313.273 2 1 151.805 78.9064 0 1.59356 0 0 0.34849 1.57885 0.516844 433.784 
