id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
1 4 2 1 206.328 2 2 304.728 195.271 0 -0.296821 0 0 -3.37183 -7.06866 1.4074 325.091 
2 4 2 2 53.0532 2 1 450.799 98.8789 0.252095 0 0 0 0 1.87963 0.182215 118.617 
3 4 2 2 128.667 2 2 376.22 206.308 -2.21132 0 1806.08 0 0 -3.26064 1.94871 401.622 
4 4 3 2 13.83 2 1 438.691 184.058 1.97247 0 -594.594 0 0.812846 0.919401 0.721191 4751.8 
5 4 2 2 117.548 2 2 454.439 246.439 -0.837243 -0.8783 0 0 0 2.39218 0.138683 95.1578 
6 4 3 1 244.409 2 1 228.681 97.5362 2.02524 3.95773 0 0 0 -0.713572 1.6694 732.948 
7 4 2 2 33.0384 2 2 366.544 109.184 -0.348556 0 0 0 -6.94967 -0.268536 2.68317 748.534 
8 4 2 1 226.186 2 1 231.555 61.2429 0 0 0 0 0.919803 0.574786 0.827415 5244.68 
9 4 2 1 70.0554 2 2 345.651 198.83 -2.19872 -3.8595 0 0 0 -0.327497 1.37537 787.705 
10 4 5 2 100.992 2 1 71.7125 66.4715 0 -0.640789 0 -812.581 0 0.851316 0.190237 766.345 
11 4 2 1 291.057 2 2 103.28 200.69 -1.8423 1.36131 0 0 6.27551 -0.456294 0.0439644 581.026 
12 4 2 2 159.562 2 1 91.1706 530.915 -0.962935 -2.73533 0 1988.49 2.81705 -5.62328 0.839994 241.843 
13 4 2 1 186.144 2 1 413.486 448.118 0.414909 -0.647704 0 0 0 -3.70863 0.261166 73.728 
14 4 2 1 127.101 2 1 311.324 231.999 4.85394 -0.672655 884.558 673.441 -0.57793 0 0.550745 869.817 
15 4 2 2 71.5509 2 1 352.123 391.997 0 0 0 2137.91 0 6.78082 0.810866 357.272 
16 4 2 2 122.862 2 1 222.521 75.5425 -0.519734 -0.665882 0 0 -0.344472 3.50819 0.0603211 595.293 
17 4 2 1 335.517 2 1 296.768 84.2571 0 0.902962 0 0 -3.3224 -7.78868 0.421831 178.247 
18 4 3 2 186.531 2 2 199.851 313.115 -0.590523 4.13888 0 0 6.36817 0 2.60022 776.937 
19 4 2 1 254.951 2 2 304.409 267.025 0 0 0 0 0.34227 0.886131 2.95588 425.588 
20 4 2 1 161.814 2 1 537.339 509.906 0 -1.98978 0 0 0 0.890635 0.604422 3.97074 
