initial_id t "\dot h_1(t+1)" "\dot h_2(t+1)" "\dot \psi_1(t+1)" "\dot \psi_2(t+1)" 
1 0 -693.748 0 0.255177 3.32905 
1 1 -693.748 0 0 3.32905 
1 2 -693.748 0 0 3.32905 
1 3 -693.748 0 0 3.32905 
1 4 -693.748 0 0 3.32905 
1 5 -693.748 0 0 3.32905 
1 6 -693.748 0 0 3.32905 
1 7 -693.748 0 0 3.32905 
1 8 -693.748 0 0 3.32905 
1 9 -607.561 0 0 3.32905 
1 10 0 0 0 2.85978 
1 11 0 0 0 2.85978 
1 12 0 0 0 2.85978 
1 13 0 0 0 2.85978 
1 14 0 0 0 2.85978 
1 15 0 0 0 2.85978 
1 16 0 0 0 2.85978 
1 17 0 0 0 2.85978 
1 18 0 0 0 2.85978 
1 19 0 0 0 2.85978 
1 20 0 0 0 2.85978 
1 21 0 0 0 2.85978 
1 22 0 0 0 2.85978 
1 23 0 0 0 2.85978 
1 24 0 0 0 2.85978 
1 25 0 0 0 2.85978 
1 26 0 0 0 2.85978 
1 27 0 0 0 2.85978 
1 28 0 0 0 2.85978 
1 29 0 0 0 2.85978 
1 30 0 0 0 2.85978 
1 31 0 0 0 2.85978 
1 32 0 0 0 2.85978 
1 33 0 0 0 3.7383 
1 34 0 0 0 3.7383 
1 35 0 0 0 3.7383 
1 36 0 0 0 3.7383 
1 37 0 0 0 3.7383 
1 38 0 0 0 3.7383 
1 39 0 0 0 3.7383 
1 40 0 0 0 3.7383 
1 41 0 0 0.814876 3.7383 
1 42 0 0 0.814876 3.7383 
1 43 0 0 0.814876 3.7383 
1 44 0 0 0.814876 2.22379 
1 45 0 0 0.814876 2.22379 
1 46 0 0 0.814876 0.755281 
1 47 0 0 2.49431 0.755281 
1 48 0 0 2.49431 0.755281 
1 49 0 0 2.49431 0.755281 
2 0 0 0 2.48982 -0.921332 
2 1 0 0 2.48982 -0.921332 
2 2 0 0 2.48982 -0.921332 
2 3 0 0 2.48982 -0.921332 
2 4 0 0 2.48982 -0.921332 
2 5 0 0 2.48982 -0.921332 
2 6 0 0 3.29179 -0.921332 
2 7 0 0 3.29179 -0.921332 
2 8 0 0 3.29179 -0.921332 
2 9 0 0 3.29179 -0.921332 
2 10 0 0 3.29179 -0.921332 
2 11 0 0 3.19167 -0.921332 
2 12 0 0 3.19167 -0.921332 
2 13 0 0 3.19167 -0.921332 
2 14 0 0 3.19167 -0.921332 
2 15 0 0 3.19167 -0.921332 
2 16 0 0 3.19167 -0.921332 
2 17 0 0 3.19167 -3.26991 
2 18 0 0 3.19167 -3.26991 
2 19 0 0 3.19167 -3.26991 
2 20 0 0 3.19167 -2.94549 
2 21 0 0 3.19167 -2.94549 
2 22 0 0 3.19167 -2.94549 
2 23 0 0 3.19167 -2.94549 
2 24 0 0 3.19167 -2.94549 
2 25 0 0 3.19167 -2.94549 
2 26 0 0 3.19167 -2.94549 
2 27 0 0 3.19167 -2.94549 
2 28 0 0 3.19167 -2.94549 
2 29 0 0 3.19167 -2.94549 
2 30 0 0 3.19167 -2.94549 
2 31 0 0 3.19167 -2.94549 
2 32 0 0 3.19167 -2.94549 
2 33 0 0 3.19167 -2.94549 
2 34 0 0 3.19167 -2.94549 
2 35 0 0 3.19167 -0.775878 
2 36 0 0 1.0505 -0.775878 
2 37 0 0 1.0505 -0.775878 
2 38 0 0 1.0505 -0.775878 
2 39 0 0 1.0505 -0.775878 
2 40 0 0 1.0505 -0.775878 
2 41 0 0 1.0505 -0.775878 
2 42 0 0 1.0505 -0.775878 
2 43 0 0 1.0505 -0.775878 
2 44 0 0 1.0505 -0.775878 
2 45 0 0 1.0505 -0.359145 
2 46 0 0 1.0505 -0.359145 
2 47 0 0 2.60465 -0.359145 
2 48 0 0 2.60465 -0.359145 
2 49 0 0 2.60465 -0.359145 
3 0 0 0 0 -0.252052 
3 1 0 0 0 -0.252052 
3 2 0 0 0 -0.694738 
3 3 0 0 0 -0.694738 
3 4 0 0 0 -0.694738 
3 5 0 0 0 -0.714723 
3 6 0 0 0 -0.714723 
3 7 0 0 0 -0.714723 
3 8 0 0 0 -0.714723 
3 9 0 0 0 -0.714723 
3 10 0 0 0 -0.714723 
3 11 0 0 0 -0.714723 
3 12 0 0 0 -0.714723 
3 13 0 0 0 -0.714723 
3 14 0 0 0 0 
3 15 0 0 0 0 
3 16 0 0 0 0 
3 17 0 0 0 0 
3 18 0 0 0 0 
3 19 0 0 0 0 
3 20 0 0 0 0.767937 
3 21 0 0 0 0.767937 
3 22 0 0 0 0.767937 
3 23 0 0 0 0.767937 
3 24 0 0 0 0.767937 
3 25 0 0 0 0.767937 
3 26 0 0 0 0.767937 
3 27 0 0 0 0.767937 
3 28 0 0 0 0.767937 
3 29 0 0 0 0.767937 
3 30 0 0 0 0.767937 
3 31 0 0 0 0.673138 
3 32 0 0 0 0.673138 
3 33 0 0 0 0 
3 34 0 0 0 0 
3 35 0 0 0 0 
3 36 0 0 0 0 
3 37 0 0 0 0 
3 38 0 0 0 0 
3 39 0 0 0 0 
3 40 0 0 0 0 
3 41 0 0 0 0 
3 42 0 0 0 0 
3 43 0 0 0 0 
3 44 0 0 0 0 
3 45 0 0 0 0 
3 46 0 0 0 0 
3 47 0 0 0 0 
3 48 0 0 0 0 
3 49 0 0 0 0 
4 0 0 0 1.09713 0 
4 1 0 0 1.09718 0 
4 2 0 0 1.09718 0 
4 3 0 0 3.16549 0 
4 4 0 0 3.16549 -0.797289 
4 5 0 0 3.16549 -0.797289 
4 6 0 0 3.16549 -0.797289 
4 7 0 0 3.16549 -0.797289 
4 8 0 0 3.16549 -0.797289 
4 9 0 0 3.16549 -1.81833 
4 10 0 0 3.16549 -1.81833 
4 11 0 0 1.05622 -1.81833 
4 12 0 0 1.05622 -1.81833 
4 13 0 0 1.05622 -1.81833 
4 14 0 0 1.05622 -1.81833 
4 15 0 0 1.05622 -1.81833 
4 16 0 0 1.05622 -1.81833 
4 17 0 0 1.05622 -1.81833 
