command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra.label270,ra.label270_short,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,text,text,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,deg/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,-1.796931836,0,1487.99882488,.929476804,1487.99882488,2,1,true,1,1,7257.926660665,-.32586947,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.929476804,1487.99882488,2,true,1,1,7257.926660665,-.32586947,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.165531774,3,none,0,0,0,0,-1.796931836,0,0,204.3014388,-5552.238367494,-7636.722196568,1487.99882488,.929476804,0,0,0,0,-7636.722196568,-5552.238367494,1487.99882488,163.708182537,122.224011006,0
0,0,-1.796931836,0,1487.99882488,.908242452,1487.99882488,2,1,true,1,1,7134.221443385,-.321402018,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.908242452,1487.99882488,2,true,1,1,7134.221443385,-.321402018,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.358344934,3,none,0,1,0,0,-1.796931836,0,1,204.3014388,-5428.878139882,-7473.873496131,1487.99882488,.908242452,0,-.192235759,0,1,-7473.873496131,-5428.878139882,1487.99882488,161.076123548,125.672432611,0
0,0,-1.796931836,0,1487.99882488,.877085398,1487.99882488,2,1,true,1,1,7010.506071187,-.306856374,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.877085398,1487.99882488,2,true,1,1,7010.506071187,-.306856374,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.357476374,3,none,0,2,0,0,-1.796931836,0,2,204.3014388,-5300.973494159,-7314.574607983,1487.99882488,.877085398,0,-.196342204,0,2,-7314.574607983,-5300.973494159,1487.99882488,157.082997207,130.629284176,0
0,0,-1.796931836,0,1487.99882488,.845726898,1487.99882488,2,1,true,1,1,6886.748220112,-.291822634,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.845726898,1487.99882488,2,true,1,1,6886.748220112,-.291822634,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.365154186,3,none,0,3,0,0,-1.796931836,0,3,204.3014388,-5168.146187309,-7159.356701859,1487.99882488,.845726898,0,-.196419761,0,3,-7159.356701859,-5168.146187309,1487.99882488,152.910102355,135.490141683,0
0,0,-1.796931836,0,1487.99882488,.814364595,1487.99882488,2,1,true,1,1,6762.940754098,-.276475953,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.814364595,1487.99882488,2,true,1,1,6762.940754098,-.276475953,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.361974973,3,none,0,4,0,0,-1.796931836,0,4,204.3014388,-5030.517171598,-7008.3800644,1487.99882488,.814364595,0,-.196421224,0,4,-7008.3800644,-5030.517171598,1487.99882488,148.586321354,140.218340463,0
0,0,-1.796931836,0,1487.99882488,.783002219,1487.99882488,2,1,true,1,1,6639.076563821,-.260798808,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.783002219,1487.99882488,2,true,1,1,6639.076563821,-.260798808,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.358600165,3,none,0,5,0,0,-1.796931836,0,5,204.3014388,-4888.2216294,-6861.793333487,1487.99882488,.783002219,0,-.196421252,0,5,-6861.793333487,-4888.2216294,1487.99882488,144.116393309,144.808642958,0
0,0,-1.796931836,0,1487.99882488,.751639842,1487.99882488,2,1,true,1,1,6515.150439224,-.244768581,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.751639842,1487.99882488,2,true,1,1,6515.150439224,-.244768581,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.356498096,3,none,0,6,0,0,-1.796931836,0,6,204.3014388,-4741.399507679,-6719.740682748,1487.99882488,.751639842,0,-.196421252,0,6,-6719.740682748,-4741.399507679,1487.99882488,139.504723997,149.256523738,0
0,0,-1.796931836,0,1487.99882488,.720277465,1487.99882488,2,1,true,1,1,6391.15931629,-.228360983,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.720277465,1487.99882488,2,true,1,1,6391.15931629,-.228360983,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.371637506,3,none,0,7,0,0,-1.796931836,0,7,204.3014388,-4590.195208586,-6582.361823587,1487.99882488,.720277465,0,-.196421252,0,7,-6582.361823587,-4590.195208586,1487.99882488,134.755849265,153.557608032,0
0,0,-1.796931836,0,1487.99882488,.688915088,1487.99882488,2,1,true,1,1,6267.102620422,-.211549951,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.688915088,1487.99882488,2,true,1,1,6267.102620422,-.211549951,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.388083141,3,none,0,8,0,0,-1.796931836,0,8,204.3014388,-4434.757444278,-6449.791870597,1487.99882488,.688915088,0,-.196421252,0,8,-6449.791870597,-4434.757444278,1487.99882488,129.87443972,157.707665645,0
0,0,-1.796931836,0,1487.99882488,.657552711,1487.99882488,2,1,true,1,1,6142.982646487,-.194307477,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.657552711,1487.99882488,2,true,1,1,6142.982646487,-.194307477,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.412456324,3,none,0,9,0,0,-1.796931836,0,9,204.3014388,-4275.239090608,-6322.161208721,1487.99882488,.657552711,0,-.196421252,0,9,-6322.161208721,-4275.239090608,1487.99882488,124.865296316,161.702614919,0
0,0,-1.796931836,0,1487.99882488,.626190334,1487.99882488,2,1,true,1,1,6018.804979344,-.1766034,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.626190334,1487.99882488,2,true,1,1,6018.804979344,-.1766034,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.424167563,3,none,0,10,0,0,-1.796931836,0,10,204.3014388,-4111.797036756,-6199.595365022,1487.99882488,.626190334,0,-.196421252,0,10,-6199.595365022,-4111.797036756,1487.99882488,119.733345638,165.538526749,0
0,0,-1.796931836,0,1487.99882488,.594827957,1487.99882488,2,1,true,1,1,5894.578960561,-.158405187,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.594827957,1487.99882488,2,true,1,1,5894.578960561,-.158405187,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.444397202,3,none,0,11,0,0,-1.796931836,0,11,204.3014388,-3944.592030938,-6082.214885222,1487.99882488,.594827957,0,-.196421252,0,11,-6082.214885222,-3944.592030938,1487.99882488,114.48363505,169.211628446,0
0,0,-1.796931836,0,1487.99882488,.56346558,1487.99882488,2,1,true,1,1,5770.318208024,-.139677678,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.56346558,1487.99882488,2,true,1,1,5770.318208024,-.139677678,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.465642619,3,none,0,12,0,0,-1.796931836,0,12,204.3014388,-3773.788522298,-5970.135215144,1487.99882488,.56346558,0,-.196421252,0,12,-5970.135215144,-3773.788522298,1487.99882488,109.121327739,172.71830745,0
0,0,-.919111853,0,1487.99882488,.532103203,1487.99882488,2,1,true,1,1,5646.041196173,-.120382813,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.532103203,1487.99882488,2,true,1,1,5646.041196173,-.120382813,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.486222334,3,none,0,13,0,0,-.919111853,0,13,204.3014388,-3599.554499172,-5863.466587169,1487.99882488,.532103203,0,-.196421252,0,13,-5863.466587169,-3599.554499172,1487.99882488,103.65169763,176.055114877,0
0,0,-.919111853,0,1487.99882488,.51141311,1487.99882488,2,1,true,1,1,5521.854772703,-.111283842,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.51141311,1487.99882488,2,true,1,1,5521.854772703,-.111283842,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.505216928,3,none,0,14,0,0,-.919111853,0,14,204.3014388,-3422.421929119,-5761.674373415,1487.99882488,.51141311,0,-.103449953,0,14,-5761.674373415,-3422.421929119,1487.99882488,99.987175996,178.161843648,0
0,0,-.919111853,0,1487.99882488,.495272789,1487.99882488,2,1,true,1,1,5398.004393267,-.106611076,1733.59282488,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.495272789,1487.99882488,2,true,1,1,5398.004393267,-.106611076,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.522828479,3,none,0,15,0,0,-.919111853,0,15,204.3014388,-3243.537974927,-5662.989460867,1487.99882488,.495272789,0,-.101474086,0,15,-5662.989460867,-3243.537974927,1487.99882488,97.098687884,179.752392771,0
0,0,-.919111853,0,1487.99882488,.479229126,1487.99882488,2,1,true,1,1,5274.383712754,-.101951383,1731.502953022,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,1487.99882488,.479229126,1487.99882488,2,true,1,1,5274.383712754,-.101951383,1725,0,0,0,3,25,3,0,0,0,0,0,0,false,false,false,true,-9999,9999,3,0,1,0,0,0,800.543848426,3,none,0,16,0,0,-.919111853,0,16,204.3014388,-3063.091117653,-5567.192157877,1487.99882488,.479229126,0,-.101431391,0,16,-5567.192157877,-3063.091117653,1487.99882488,94.202428538,181.287010989,0
