command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
-8.803383333,0,0,-8.803383333,8963.325972509,.64988326,8963.325972509,1,1,true,2,2,27464.973302167,.603865187,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8963.325972509,.64988326,8963.325972509,1,true,2,2,27464.973302167,.603865187,8250,0,0,0,3,25,0,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,99.999901325,1,none,0,0,0,-8.803383333,0,0,0,427.5940032,-6342.683327492,-15601.091395662,8963.325972509,.64988326,-.020589637,0,0,0,-15601.091395662,-6342.683327492,8963.325972509,258.679496833,340.358707737,-8.803383333
-8.803383333,0,.806663684,-8.803383333,8954.522589175,.64988326,8954.522589175,1,1,true,2,2,27063.368458014,.622098232,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8954.522589175,.64988326,8954.522589175,1,true,2,2,27063.368458014,.622098232,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.00007317,1,none,0,1,0,-8.803383333,.806663684,0,1,427.5940032,-6002.324619754,-15342.411898829,8954.522589175,.64988326,-.020589637,0,0,1,-15342.411898829,-6002.324619754,8954.522589175,258.679496833,340.358707737,-8.803383333
-8.803383333,0,3.223092517,-8.803383333,8945.719205842,.656460966,8945.719205842,1,1,true,2,2,26670.517498722,.634270909,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8945.719205842,.656460966,8945.719205842,1,true,2,2,26670.517498722,.634270909,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.000208539,1,none,0,2,0,-8.803383333,3.223092517,0,2,427.5940032,-5662.480754955,-15083.05761455,8945.719205842,.656460966,-.020589637,.149889211,0,2,-15083.05761455,-5662.480754955,8945.719205842,260.912664016,338.649839466,-8.803383333
-8.803383333,0,3.223092517,-8.803383333,8936.915822509,.68642523,8936.915822509,1,1,true,2,2,26283.506613922,.623419388,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8936.915822509,.68642523,8936.915822509,1,true,2,2,26283.506613922,.623419388,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.000535349,1,none,0,3,0,-8.803383333,3.223092517,0,3,427.5940032,-5326.511228822,-14818.726072205,8936.915822509,.68642523,-.020589637,.571678461,0,3,-14818.726072205,-5326.511228822,8936.915822509,270.941416538,330.68093507,-8.803383333
-8.803383333,0,3.223092517,-8.803383333,8928.112439175,.739407862,8928.112439175,1,1,true,2,2,25895.405506031,.589543207,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8928.112439175,.739407862,8928.112439175,1,true,2,2,25895.405506031,.589543207,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.000738435,1,none,0,4,0,-8.803383333,3.223092517,0,4,427.5940032,-5002.250846774,-14540.208301804,8928.112439175,.739407862,-.020589637,.63600655,0,4,-14540.208301804,-5002.250846774,8928.112439175,288.073367777,315.868432725,-8.803383333
-8.803383333,0,3.223092517,-8.803383333,8919.309055842,.795367209,8919.309055842,1,1,true,2,2,25502.763069614,.552506907,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8919.309055842,.795367209,8919.309055842,1,true,2,2,25502.763069614,.552506907,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.000767734,1,none,0,5,0,-8.803383333,3.223092517,0,5,427.5940032,-4693.76200876,-14244.325609041,8919.309055842,.795367209,-.020589637,.640739022,0,5,-14244.325609041,-4693.76200876,8919.309055842,305.289009801,299.262013141,-8.803383333
-15.716997647,0,3.223092517,-8.803383333,8910.505672509,.851546572,8910.505672509,1,1,true,2,2,25103.377236513,.515019652,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-8.803383333,8910.505672509,.851546572,8910.505672509,1,true,2,2,25103.377236513,.515019652,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.000875675,1,none,0,6,0,-15.716997647,3.223092517,0,6,427.5940032,-4402.349652492,-13931.611059713,8910.505672509,.851546572,-.020589637,.641066676,0,6,-13931.611059713,-4402.349652492,8910.505672509,321.610878816,281.647962253,-8.803383333
-15.716997647,0,3.223092517,-15.716997647,8897.614845472,.904647575,8897.614845472,1,1,true,2,2,24697.183032472,.480416517,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.716997647,8897.614845472,.904647575,8897.614845472,1,true,2,2,24697.183032472,.480416517,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.001126196,1,none,0,7,0,-15.716997647,3.223092517,0,7,427.5940032,-4127.599148065,-13604.292105413,8897.614845472,.904647575,-.036765106,.702459517,0,7,-13604.292105413,-4127.599148065,8897.614845472,335.950401804,264.058582677,-15.716997647
-15.716997647,0,3.223092517,-15.716997647,8881.897847825,.963679724,8881.897847825,1,1,true,2,2,24274.698352392,.439511305,8239.506555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,-15.716997647,8881.897847825,.963679724,8881.897847825,1,true,2,2,24274.698352392,.439511305,8250,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,2,0,0,0,100.001690564,1,none,0,8,0,-15.716997647,3.223092517,0,8,427.5940032,-3872.797031014,-13261.344718927,8881.897847825,.963679724,-.036765106,.644718236,0,8,-13261.344718927,-3872.797031014,8881.897847825,350.944106362,243.778263525,-15.716997647
