command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra.label270,ra.label270_short,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,text,text,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,-.872008053,0,8257.271555842,1.014488266,8257.271555842,2,1,true,1,1,13570.856017029,.024653058,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,1.014488266,8257.271555842,2,true,1,1,13570.856017029,.024653058,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.008298051,1,none,0,0,0,0,-.872008053,0,0,332.6620044,-7497.321574592,-17934.915040527,8257.271555842,1.014488266,0,0,0,0,-17934.915040527,-7497.321574592,8257.271555842,282.500046937,175.6636919,0
0,0,-.872008053,0,8257.271555842,1.006193596,8257.271555842,2,1,true,1,1,13351.227447171,.025350606,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,1.006193596,8257.271555842,2,true,1,1,13351.227447171,.025350606,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.015700653,1,none,0,1,0,0,-.872008053,0,1,332.6620044,-7320.929729839,-17652.870187295,8257.271555842,1.006193596,0,-.138494841,0,1,-17652.870187295,-7320.929729839,8257.271555842,281.033273201,178.000866642,0
0,0,-.872008053,0,8257.271555842,.991751324,8257.271555842,2,1,true,1,1,13130.301470515,.032078934,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.991751324,8257.271555842,2,true,1,1,13130.301470515,.032078934,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.013926284,1,none,0,2,0,0,-.872008053,0,2,332.6620044,-7141.144395932,-17372.978520993,8257.271555842,.991751324,0,-.154037624,0,2,-17372.978520993,-7141.144395932,8257.271555842,278.433317202,182.040921342,0
0,0,-.872008053,0,8257.271555842,.976617348,8257.271555842,2,1,true,1,1,12903.959454368,.039142487,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.976617348,8257.271555842,2,true,1,1,12903.959454368,.039142487,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.020427694,1,none,0,3,0,0,-.872008053,0,3,332.6620044,-6957.217236798,-17095.791365769,8257.271555842,.976617348,0,-.155746346,0,3,-17095.791365769,-6957.217236798,8257.271555842,275.646534338,186.233716815,0
0,0,-.872008053,0,8257.271555842,.961407302,8257.271555842,2,1,true,1,1,12671.482361355,.045896366,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.961407302,8257.271555842,2,true,1,1,12671.482361355,.045896366,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.022960511,1,none,0,4,0,0,-.872008053,0,4,332.6620044,-6769.103457749,-16821.428279204,8257.271555842,.961407302,0,-.155933648,0,4,-16821.428279204,-6769.103457749,8257.271555842,272.782135869,190.404610034,0
0,0,-.872008053,0,8257.271555842,.946188916,8257.271555842,2,1,true,1,1,12432.655987421,.05227425,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.946188916,8257.271555842,2,true,1,1,12432.655987421,.05227425,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.02460521,1,none,0,5,0,0,-.872008053,0,5,332.6620044,-6576.837124409,-16549.959032676,8257.271555842,.946188916,0,-.155954172,0,5,-16549.959032676,-6576.837124409,8257.271555842,269.853009515,194.533705118,0
0,0,-.872008053,0,8257.271555842,.930969617,8257.271555842,2,1,true,1,1,12187.28834494,.058269297,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.930969617,8257.271555842,2,true,1,1,12187.28834494,.058269297,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.025865664,1,none,0,6,0,0,-.872008053,0,6,332.6620044,-6380.461739217,-16281.447203188,8257.271555842,.930969617,0,-.155956421,0,6,-16281.447203188,-6380.461739217,8257.271555842,266.861205122,198.617991058,0
0,0,-.872008053,0,8257.271555842,.915750218,8257.271555842,2,1,true,1,1,11935.208134096,.063880855,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.915750218,8257.271555842,2,true,1,1,11935.208134096,.063880855,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.027043696,1,none,0,7,0,0,-.872008053,0,7,332.6620044,-6180.022675977,-16015.955063223,8257.271555842,.915750218,0,-.155956667,0,7,-16015.955063223,-6180.022675977,8257.271555842,263.807569353,202.656298998,0
0,0,-.872008053,0,8257.271555842,.900530808,8257.271555842,2,1,true,1,1,11676.264759214,.06910849,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,Clear of Conflict,COC,false,0,8257.271555842,.900530808,8257.271555842,2,true,1,1,11676.264759214,.06910849,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.029525642,1,none,0,8,0,0,-.872008053,0,8,332.6620044,-5975.566349467,-15753.54411642,8257.271555842,.900530808,0,-.155956694,0,8,-15753.54411642,-5975.566349467,8257.271555842,260.692826718,206.647669402,0
