"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,0.0,-260.56028917500043,0.293360089,14030.397652196,-1.968934021,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.012280253,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.383885623,14030.397652196,1.0821331,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.01231726,true,false,false,0.0,0.0,2.910794955,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.280566951,13881.365884405,-1.937832506,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.003622159,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.402231266,13881.365884405,1.082095833,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.003629833,true,false,false,0.0,0.0,2.910794955,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.264560904,13722.739232459,-1.903644624,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.004353694,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.447793219,13722.739232459,1.054715715,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.004366297,true,false,false,0.0,0.0,2.910794955,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.248551613,13548.672909035,-1.869805786,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.0072204,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.498114807,13548.672909035,1.022223674,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.007245092,true,false,false,0.0,0.0,2.910794955,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.232542318,13358.485116623,-1.836361795,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.011806364,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.54887715,13358.485116623,0.988896027,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.011848783,true,false,false,0.0,0.0,2.910794955,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.216533024,13152.224973628,-1.803331177,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025248817,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.599676707,13152.224973628,0.955117794,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.025325813,true,false,false,0.0,0.0,2.412871679,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.20052373,12930.566182873,-1.770702777,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.031188846,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.645522886,12930.566182873,0.925890719,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.031292881,true,false,false,0.0,0.0,2.412871679,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.184514435,12695.509912784,-1.738384809,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.034295599,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.688020596,12695.509912784,0.899701683,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.034422797,true,false,false,0.0,0.0,2.412871679,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.168505141,12447.64735718,-1.706356224,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.035927009,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.730175059,12447.64735718,0.873566511,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.036073284,true,false,false,0.0,0.0,2.412871679,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.152495847,12187.134436087,-1.674622356,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.037208094,true,false,false,0.0,0.0,-0.917265,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.772292199,12187.134436087,0.847173946,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.037375457,true,false,false,0.0,0.0,2.412871679,424.5205194,8165.695555842,"true"
false,0.0,-260.56028917500043,0.136486552,11914.095870288,-1.643193508,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.043029347,true,false,false,0.0,0.0,-0.795167877,129.68515104,8435.560289175,false,0.0,259.30444415799957,0.814405255,11914.095870288,0.820480442,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.043226888,true,false,false,0.0,0.0,1.331512884,424.5205194,8165.695555842,"true"
