"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-247.29501595500005,0.4155559755680737,7983.700849931,-111.34701568654589,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.057214905,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,6.250617977974189,7983.700849931,62.81792227725535,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.058446596,true,false,false,0.0,0.0,0.0,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,0.18662432869202736,7886.345403134,-109.87717170320083,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.046473506,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,6.250617977974189,7886.345403134,64.05883467102014,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.047019911,true,false,false,0.0,0.0,0.0,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-0.0843263240055282,7792.34155659,-108.33595511216144,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.039880085,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,6.250617977974189,7792.34155659,65.32910055206618,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.040444876,true,false,false,0.0,0.0,0.838448653,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-0.35527829450601256,7701.076162676,-106.76773874446322,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.046386076,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,6.7373700329398964,7701.076162676,66.1396128942982,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.047092294,true,false,false,0.0,0.0,3.26503549,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-0.6262303223022764,7608.314032246,-105.18619199799927,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.046216847,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,8.839054340246697,7608.314032246,65.3485233056591,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.046942297,true,false,false,0.0,0.0,3.26503549,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-0.8971822928027609,7505.912750171,-103.61774083219662,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.044822882,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,12.03905244582944,7505.912750171,63.44602439537853,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.045533459,true,false,false,0.0,0.0,3.26503549,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-1.1681343205990247,7391.817709836,-102.06998255282711,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.045718361,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,15.30150552939152,7391.817709836,61.46037762068547,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.046473602,true,false,false,0.0,0.0,3.26503549,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-1.439086291099509,7266.013243821,-100.54414437819217,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.049836786,true,false,false,0.0,0.0,-0.270952,99.88451034,2647.295015955,false,0.0,243.88798404499994,18.566440093164314,7266.013243821,59.45032920375135,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.050739356,true,false,false,0.0,0.0,2.770373579,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-1.7100383188957728,7129.059322795,-99.0390736890953,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.055209391,true,false,false,0.0,0.0,-0.594307195,99.88451034,2647.295015955,false,0.0,243.88798404499994,21.51247436957642,7129.059322795,57.73841364593561,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.056300816,true,false,false,0.0,15.451265488,2.770373579,296.54646,2406.112015955,true,247.29501595500005
false,0.0,-247.29501595500005,-2.2542234340622755,6981.505984967,-97.27926029200113,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.063462707,true,false,false,0.0,0.0,-0.594307195,99.88451034,2647.295015955,false,9.570126838,239.62171819200012,24.51147865144415,6981.505984967,55.955037645995574,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.072995375,true,false,false,0.0,15.451265488,2.770373579,296.54646,2410.378281808,true,247.29501595500005
