"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,0.0,-197.29501595500005,2.108757417,14014.274038262,-0.516262387,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.014505725,true,false,false,0.0,0.0,-3.35691,129.05965236,2647.295015955,false,0.0,206.37398404499982,2.856983348,14014.274038262,1.877104335,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.014182696,true,false,false,0.0,0.0,1.185415866,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,2.067464351,13993.832737771,-0.458634956,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000386303,true,false,false,0.0,0.0,-3.35691,129.05965236,2647.295015955,false,0.0,206.37398404499982,2.868849052,13993.832737771,1.881572996,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000380347,true,false,false,0.0,0.0,1.185415866,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,2.008895469,13969.249718541,-0.383116214,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000111455,true,false,false,0.0,0.0,-0.419136459,129.05965236,2647.295015955,false,0.0,206.37398404499982,2.888769673,13969.249718541,1.878602236,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.00010847,true,false,false,0.0,0.0,5.947176681,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.987881283,13938.479012781,-0.344510672,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000214208,true,false,false,0.0,0.0,-0.419136459,129.05965236,2647.295015955,false,0.0,206.37398404499982,2.938237067,13938.479012781,1.846726198,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000209075,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.980547146,13891.282564946,-0.318985684,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000420384,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,3.020044278,13891.282564946,1.783109838,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000410981,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979082995,13824.295780176,-0.298747397,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.00070712,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,3.101851489,13824.295780176,1.720076764,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.000691827,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979081537,13737.685196166,-0.279482168,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001165166,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-3.099526608,13737.685196166,1.657533323,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001140147,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979081535,13631.485952534,-0.259780067,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001796088,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-3.017719397,13631.485952534,1.595428212,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.001756586,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979081535,13505.787762844,-0.239686586,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.002498321,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-2.935912186,13505.787762844,1.533714482,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.002440805,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
false,0.0,-197.29501595500005,1.979081535,13360.743883112,-0.219247283,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.003150858,true,false,false,0.0,0.0,0.0,129.05965236,2647.295015955,false,0.0,206.37398404499982,-2.854104975,13360.743883112,1.472346574,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.003074206,true,false,false,0.0,0.0,7.86921019,304.5871392,2443.626015955,"true"
