command.h_d,command.v_d,command.psi_d,sensor.dz,sensor.z,sensor.psi,sensor.h,sensor.modes,sensor.num_intruders,sensor.valid_1,sensor.id_1,sensor.modes_1,sensor.sr_1,sensor.chi_1,sensor.z_1,sensor.cvc_1,sensor.vrc_1,sensor.vsb_1,ra.ra_active,ra.alarm,ra.target_rate,ra.dh_min,ra.dh_max,ra.crossing,ra.cc,ra.vc,ra.ua,ra.da,ra_detailed.ra_active,ra_detailed.ownInput.dz,ra_detailed.ownInput.z,ra_detailed.ownInput.psi,ra_detailed.ownInput.h,ra_detailed.ownInput.modes,ra_detailed.intruderInput[1].valid,ra_detailed.intruderInput[1].id,ra_detailed.intruderInput[1].modes,ra_detailed.intruderInput[1].sr,ra_detailed.intruderInput[1].chi,ra_detailed.intruderInput[1].z,ra_detailed.intruderInput[1].cvc,ra_detailed.intruderInput[1].vrc,ra_detailed.intruderInput[1].vsb,ra_detailed.intruderInput[1].equipage,ra_detailed.intruderInput[1].quant,ra_detailed.intruderInput[1].sensitivity_index,ra_detailed.intruderInput[1].protection_mode,ra_detailed.ownOutput.cc,ra_detailed.ownOutput.vc,ra_detailed.ownOutput.ua,ra_detailed.ownOutput.da,ra_detailed.ownOutput.target_rate,ra_detailed.ownOutput.turn_off_aurals,ra_detailed.ownOutput.crossing,ra_detailed.ownOutput.alarm,ra_detailed.ownOutput.alert,ra_detailed.ownOutput.dh_min,ra_detailed.ownOutput.dh_max,ra_detailed.ownOutput.sensitivity_index,ra_detailed.ownOutput.ddh,ra_detailed.intruderOutput[1].id,ra_detailed.intruderOutput[1].cvc,ra_detailed.intruderOutput[1].vrc,ra_detailed.intruderOutput[1].vsb,ra_detailed.intruderOutput[1].tds,ra_detailed.intruderOutput[1].code,response.state,response.timer,response.t,response.v_d,response.h_d,response.psi_d,response.logProb,adm.t,adm.v,adm.N,adm.E,adm.h,adm.psi,adm.theta,adm.phi,adm.a,wm.t,wm.x,wm.y,wm.z,wm.vx,wm.vy,wm.vz
ft/s,ft/s^2,deg/s,ft/s,ft,rad,ft,n/a,integer,boolean,integer,n/a,ft,rad,ft,n/a,n/a,n/a,boolean,boolean,ft/s,ft/s,ft/s,boolean,n/a,n/a,n/a,n/a,boolean,ft/s,ft,rad,ft/s,integer,boolean,integer,integer,ft,rad,ft,n/a,n/a,n/a,enum,ft,integer,integer,n/a,n/a,n/a,n/a,ft/s,boolean,boolean,boolean,boolean,ft/s,ft/s,integer,ft/s^2,integer,n/a,n/a,n/a,n/a,n/a,enum,s,s,ft/s^2,ft,rad/s,float,s,ft/s,ft,ft,ft,rad,rad,rad,ft/s^2,s,ft,ft,ft,ft/s,ft/s,ft/s
0,0,0,0,8075.667555842,-2.1169265,8075.667555842,2,1,true,1,1,26082.749192736,.168989004,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.1169265,8075.667555842,2,true,1,1,26082.749192736,.168989004,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,99.999904444,1,none,0,0,0,0,0,0,0,265.7542368,9601.978865157,5718.32868603,8075.667555842,-2.1169265,0,0,0,0,5718.32868603,9601.978865157,8075.667555842,-227.0978494,-138.028552028,0
0,0,0,0,8075.667555842,-2.1169265,8075.667555842,2,1,true,1,1,25658.407319671,.187031409,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.1169265,8075.667555842,2,true,1,1,25658.407319671,.187031409,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.000332218,1,none,0,1,0,0,0,0,1,265.7542368,9463.950313128,5491.23083663,8075.667555842,-2.1169265,0,0,0,1,5491.23083663,9463.950313128,8075.667555842,-227.0978494,-138.028552028,0
0,0,0,0,8075.667555842,-2.1169265,8075.667555842,2,1,true,1,1,25237.457548699,.205627919,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.1169265,8075.667555842,2,true,1,1,25237.457548699,.205627919,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.00078248,1,none,0,2,0,0,0,0,2,265.7542368,9325.9217611,5264.13298723,8075.667555842,-2.1169265,0,0,0,2,5264.13298723,9325.9217611,8075.667555842,-227.0978494,-138.028552028,0
0,0,.536056289,0,8075.667555842,-2.1169265,8075.667555842,2,1,true,1,1,24818.577452968,.224777875,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.1169265,8075.667555842,2,true,1,1,24818.577452968,.224777875,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.001578487,1,none,0,3,0,0,.536056289,0,3,265.7542368,9187.893209071,5037.03513783,8075.667555842,-2.1169265,0,0,0,3,5037.03513783,9187.893209071,8075.667555842,-227.0978494,-138.028552028,0
0,0,.479881554,0,8075.667555842,-2.111186668,8075.667555842,2,1,true,1,1,24400.111257593,.238718725,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.111186668,8075.667555842,2,true,1,1,24400.111257593,.238718725,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.00203581,1,none,0,4,0,0,.479881554,0,4,265.7542368,9050.283932597,4809.68341709,8075.667555842,-2.111186668,0,.072322293,0,4,4809.68341709,9050.283932597,8075.667555842,-227.886364889,-136.722781842,0
0,0,.479881554,0,8075.667555842,-2.102655955,8075.667555842,2,1,true,1,1,23973.154684051,.250220525,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.102655955,8075.667555842,2,true,1,1,23973.154684051,.250220525,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.002237593,1,none,0,5,0,0,.479881554,0,5,265.7542368,8914.444637418,4581.270247738,8075.667555842,-2.102655955,0,.0692183,0,5,4581.270247738,8914.444637418,8075.667555842,-229.044401589,-134.773797445,0
0,0,.876568599,0,8075.667555842,-2.094270915,8075.667555842,2,1,true,1,1,23526.903323456,.262028606,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.094270915,8075.667555842,2,true,1,1,23526.903323456,.262028606,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.00283073,1,none,0,6,0,0,.876568599,0,6,265.7542368,8780.53687925,4351.719344883,8075.667555842,-2.094270915,0,.069027774,0,6,4351.719344883,8780.53687925,8075.667555842,-230.166420068,-132.848535748,0
0,0,.876568599,0,8075.667555842,-2.081631671,8075.667555842,2,1,true,1,1,23060.535842383,.269687343,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.081631671,8075.667555842,2,true,1,1,23060.535842383,.269687343,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.007761496,1,none,0,7,0,0,.876568599,0,7,265.7542368,8648.874094699,4120.874598111,8075.667555842,-2.081631671,0,.122223049,0,7,4120.874598111,8648.874094699,8075.667555842,-231.827096124,-129.928872387,0
15.086890157,0,.876568599,0,8075.667555842,-2.066491581,8075.667555842,2,1,true,1,1,22574.274638455,.27487657,8765.532555842,0,0,0,false,false,0,-9999,9999,false,0,0,0,0,false,0,8075.667555842,-2.066491581,8075.667555842,2,true,1,1,22574.274638455,.27487657,8775,0,0,0,3,25,5,0,0,0,0,0,0,false,false,false,false,-9999,9999,5,0,1,0,0,0,100.010803224,1,none,0,8,0,15.086890157,.876568599,0,8,265.7542368,8520.521241639,3888.174094448,8075.667555842,-2.066491581,0,.125401411,0,8,3888.174094448,8520.521241639,8075.667555842,-233.76758634,-126.404232342,0
