"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc0_1","cc1_1","cc2_1","vc0_1","vc1_1","vc2_1","ua0_1","ua1_1","ua2_1","da0_1","da1_1","da2_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc0_2","cc1_2","cc2_2","vc0_2","vc1_2","vc2_2","ua0_2","ua1_2","ua2_2","da0_2","da1_2","da2_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging","abs_alt_diff"
false,0.0,-622.295015955,-68.46774799852392,12743.993292991,-148.06068757784135,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.007772334,true,false,false,0.0,0.0,0.980117,89.78910342,2647.295015955,false,0.0,629.392717379,102.50754698322176,12743.993292991,-139.03598259337969,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.007695646,true,false,false,0.0,0.0,-0.87528,313.8430344,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-67.62417897089337,13058.164920992,-150.01464405688574,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.980117,89.78910342,2647.295015955,false,0.0,629.392717379,102.01324580823473,13058.164920992,-139.65206886980653,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,311.480316936,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-66.64406241234414,13373.469799618,-152.0532363717366,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.980117,89.78910342,2647.295015955,false,0.0,629.392717379,101.17184955115489,13373.469799618,-139.86914836902827,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,309.117599472,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-65.66394539542866,13689.066742611,-154.0457989189042,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,100.29685000693996,13689.066742611,-140.00659429776974,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,306.754882008,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-64.66997231097041,14004.617512961,-156.00934063808646,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,99.41872600927665,14004.617512961,-140.0980389921262,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,304.392164544,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-63.67376039392771,14319.853283366,-157.9349028184944,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,98.54031719429337,14319.853283366,-140.14898038321235,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,302.02944708,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-62.677548476884986,14634.520816607,-159.8227354989099,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,97.66188202325151,14634.520816607,-140.16216597554327,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,299.666729616,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-61.681336502546486,14948.384040058,-161.6751353233589,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,96.78344364364598,14948.384040058,-140.13991550334404,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,297.304012152,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-60.68512458550378,15261.22233882,-163.49422212109184,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,95.9050041181249,15261.22233882,-140.0843508012174,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,294.941294688,2020.607282621,false,622.295015955
false,0.0,-622.295015955,-59.68891266846106,15572.829125108,-165.2819531732327,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,0.99621193,89.78910342,2647.295015955,false,0.0,629.392717379,95.02656356127976,15572.829125108,-139.9974293794704,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,0.0,-0.87528,292.578577224,2020.607282621,false,622.295015955
