"RA_1","vert_rate_1","alt_diff_1","psi_1","intr_sr_1","intr_chi_1","intr_vrc0_1","intr_vrc1_1","intr_vrc2_1","cc1_1","cc2_1","cc3_1","vc1_1","vc2_1","vc3_1","ua1_1","ua2_1","ua3_1","da1_1","da2_1","da3_1","target_rate_1","crossing_1","alarm_1","alert_1","intr_out_vrc0_1","intr_out_vrc1_1","intr_out_vrc2_1","intr_out_tds_1","response_none_1","response_stay_1","response_follow_1","response_timer_1","response_h_d_1","response_psi_d_1","v_1","h_1","RA_2","vert_rate_2","alt_diff_2","psi_2","intr_sr_2","intr_chi_2","intr_vrc0_2","intr_vrc1_2","intr_vrc2_2","cc1_2","cc2_2","cc3_2","vc1_2","vc2_2","vc3_2","ua1_2","ua2_2","ua3_2","da1_2","da2_2","da3_2","target_rate_2","crossing_2","alarm_2","alert_2","intr_out_vrc0_2","intr_out_vrc1_2","intr_out_vrc2_2","intr_out_tds_2","response_none_2","response_stay_2","response_follow_2","response_timer_2","response_h_d_2","response_psi_d_2","v_2","h_2","converging"
false,10.125516667,770.2776840450001,"18.050769998841663",14785.841577699,"-44.09276611393781",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.002690965,true,false,false,0.0,10.125516667,-0.929204,84.57126972,2254.722315955,false,-15.775833333,-766.4163492880002,"-21.43238197449379",14785.841577699,"175.39038588290077",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,100.002703407,true,false,false,0.0,-15.775833333,0.0,331.4400372,3016.416349288,false
false,10.125516667,735.1521673789998,"17.239393349775675",15053.606911025,"-43.40137032221477",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,10.125516667,-0.929204,84.57126972,2264.847832621,false,-15.775833333,-725.640515955,"-21.43238197449379",15053.606911025,"175.27040496826206",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,3000.640515955,false
false,10.125516667,700.026650712,"16.304593341046264",15320.610728764,"-42.57867466272286",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,10.125516667,-0.929204,84.57126972,2274.973349288,false,-15.775833333,-709.8646826210002,"-21.43238197449379",15320.610728764,"175.15830067632032",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2984.864682621,false
false,10.125516667,689.9011340450002,"15.369793275021069",15586.838274734,"-41.74841000157416",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,10.125516667,-0.929204,84.57126972,2285.098865955,false,-15.775833333,-694.0888492879999,"-21.43238197449379",15586.838274734,"175.05376527144384",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2969.088849288,false
false,10.125516667,654.7756173789999,"14.434993208995877",15852.292753832,"-40.91092337930516",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.929204,84.57126972,2295.224382621,false,-15.775833333,-653.3130159550001,"-21.43238197449379",15852.292753832,"174.95645182768763",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2953.313015955,false
false,9.602444523,645.1130771580001,"13.50041590896143",16116.957540814,"-40.06689398008623",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2304.886922842,false,-15.775833333,-637.5371826209998,"-21.43238197449379",16116.957540814,"174.86590392687214",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2937.537182621,false
false,9.602444523,610.5106326340001,"12.666545910886862",16380.888307795,"-39.317128571350466",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2314.489367366,false,-15.775833333,-596.761349288,"-21.43238197449379",16380.888307795,"174.7817993375333",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2921.761349288,false
false,9.602444523,575.9081881110001,"11.84796168194125",16644.164804418,"-38.57676700431464",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2324.091811889,false,-15.775833333,-580.9855159550002,"-21.43238197449379",16644.164804418,"174.7035766756235",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2905.985515955,false
false,9.602444523,566.305743587,"11.029377395699859",16906.793260597,"-37.83078082519557",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2333.694256413,false,-15.775833333,-565.209682622,"-21.43238197449379",16906.793260597,"174.6309785685012",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2890.209682622,false
false,9.602444523,531.703299064,"10.210793166754247",17168.778837343,"-37.079403170520095",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,9.602444523,-0.813937043,84.57126972,2343.296700936,false,-15.775833333,-524.4338492880001,"-21.43238197449379",17168.778837343,"174.56377199423108",true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0.0,false,false,false,true,false,false,99.999899983,true,false,false,0.0,-15.775833333,0.0,331.4400372,2874.433849288,false
